step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,328,8,0.18156015970988665,0.0,0.0,0.2185718743421603,0.0,0.0,,,,,,
2,656,16,0.17005658948926433,0.0,0.0,,,,,,,,,
3,1048,24,0.10626278702324876,0.25,0.25,,,,,,,,,
4,1312,32,0.09853071028257547,0.5,0.5,,,,,,,,,
5,1640,40,0.07127936634089564,0.5,0.5,,,,,,,,,
6,1904,48,0.08449333333017423,0.25,0.25,,,,,,,,,
7,2168,56,0.07515209920584312,0.375,0.375,,,,,,,,,
8,2496,64,0.052136534925550225,0.75,0.75,,,,,,,,,
9,2696,72,0.10187895454854394,0.25,0.25,0.07335904232983012,0.625,0.625,,,,,,
10,3024,80,0.055339670783840125,0.625,0.625,,,,,,,,,
11,3352,88,0.0761018005248625,0.5,0.5,,,,,,,,,
12,3680,96,0.0687301525170915,0.5,0.5,,,,,,,,,
13,4136,104,0.04183141507158455,0.75,0.75,,,,,,,,,
14,4400,112,0.066432553663617,0.25,0.25,,,,,,,,,
15,4728,120,0.05681169409770518,0.375,0.375,,,,,,,,,
16,5056,128,0.04767629054002464,0.625,0.625,,,,,,,,,
17,5512,136,0.04172804953347493,0.5,0.5,0.05282032981631346,0.5,0.5,,,,,,
18,5776,144,0.05954491084652545,0.5,0.5,,,,,,,,,
19,6040,152,0.062132119382149534,0.5,0.5,,,,,,,,,
20,6432,160,0.05183424964236716,0.625,0.625,,,,,,,,,
21,6632,168,0.07112498358202478,0.875,0.875,,,,,,,,,
22,6960,176,0.054763896148651826,0.375,0.375,,,,,,,,,
23,7160,184,0.06422286171310893,0.875,0.875,,,,,,,,,
24,7552,192,0.05440144611003537,0.25,0.25,,,,,,,,,
25,7752,200,0.07834939871254998,0.5,0.5,0.0684510621777493,0.75,0.75,,,,,,
